,Sample_ID,Year,Country,Continent,Azithromycin mic,Ciprofloxacin mic,Ceftriaxone mic,Cefixime mic,Azithromycin log mic,Ciprofloxacin log mic,Ceftriaxone log mic,Cefixime log mic,Azithromycin sr,Ciprofloxacin sr,Ceftriaxone sr,Cefixime sr
3281,8727_8#44,2010.0,USA,America,1.0,32.0,0.06,0.06,0.0,5.0,-4.058893689,-4.058893689,0.0,1.0,0.0,0.0
3282,8727_8#52,2009.0,USA,America,0.5,4.0,0.015,0.03,-1.0,2.0,-6.058893689,-5.058893689,0.0,1.0,0.0,0.0
3283,8727_8#58,2009.0,USA,America,0.5,4.0,0.008,0.015,-1.0,2.0,-6.965784285,-6.058893689,0.0,1.0,0.0,0.0
3284,8727_8#63,2010.0,USA,America,0.5,8.0,0.06,0.25,-1.0,3.0,-4.058893689,-2.0,0.0,1.0,0.0,0.0
3285,8727_5#72,2009.0,USA,America,0.5,4.0,0.03,0.015,-1.0,2.0,-5.058893689,-6.058893689,0.0,1.0,0.0,0.0
3286,8727_5#89,2010.0,USA,America,0.5,16.0,0.125,0.5,-1.0,4.0,-3.0,-1.0,0.0,1.0,0.0,0.0
3287,SRR5827254,2015.0,New_Zealand,Oceania,0.25,0.004,0.004,0.008,-2.0,-7.965784285,-7.965784285,-6.965784285,0.0,0.0,0.0,0.0
3288,SRR5827255,2015.0,New_Zealand,Oceania,0.25,0.008,0.008,0.008,-2.0,-6.965784285,-6.965784285,-6.965784285,0.0,0.0,0.0,0.0
3289,SRR5827256,2015.0,New_Zealand,Oceania,0.25,4.0,0.03,0.03,-2.0,2.0,-5.058893689,-5.058893689,0.0,1.0,0.0,0.0
3290,SRR5827257,2015.0,New_Zealand,Oceania,0.25,0.004,0.016,0.03,-2.0,-7.965784285,-5.965784285,-5.058893689,0.0,0.0,0.0,0.0
3291,SRR5827258,2015.0,New_Zealand,Oceania,0.25,4.0,0.008,0.008,-2.0,2.0,-6.965784285,-6.965784285,0.0,1.0,0.0,0.0
3292,SRR5827259,2015.0,New_Zealand,Oceania,0.25,0.002,0.004,0.008,-2.0,-8.965784285,-7.965784285,-6.965784285,0.0,0.0,0.0,0.0
3293,SRR5827260,2015.0,New_Zealand,Oceania,1.0,4.0,0.016,0.016,0.0,2.0,-5.965784285,-5.965784285,0.0,1.0,0.0,0.0
3294,SRR5827261,2015.0,New_Zealand,Oceania,0.25,4.0,0.008,0.016,-2.0,2.0,-6.965784285,-5.965784285,0.0,1.0,0.0,0.0
3295,SRR5827252,2015.0,New_Zealand,Oceania,0.12,0.004,0.004,0.004,-3.058893689,-7.965784285,-7.965784285,-7.965784285,0.0,0.0,0.0,0.0
3296,SRR5827253,2015.0,New_Zealand,Oceania,0.25,0.004,0.004,0.008,-2.0,-7.965784285,-7.965784285,-6.965784285,0.0,0.0,0.0,0.0
3297,SRR5827047,2015.0,New_Zealand,Oceania,0.12,4.0,0.008,0.008,-3.058893689,2.0,-6.965784285,-6.965784285,0.0,1.0,0.0,0.0
3298,SRR5827048,2015.0,New_Zealand,Oceania,0.12,4.0,0.008,0.008,-3.058893689,2.0,-6.965784285,-6.965784285,0.0,1.0,0.0,0.0
3299,SRR5827049,2015.0,New_Zealand,Oceania,0.03,0.002,0.002,0.004,-5.058893689,-8.965784285,-8.965784285,-7.965784285,0.0,0.0,0.0,0.0
3300,SRR5827050,2015.0,New_Zealand,Oceania,0.06,0.004,0.004,0.008,-4.058893689,-7.965784285,-7.965784285,-6.965784285,0.0,0.0,0.0,0.0
3301,SRR5827043,2015.0,New_Zealand,Oceania,0.12,0.004,0.004,0.008,-3.058893689,-7.965784285,-7.965784285,-6.965784285,0.0,0.0,0.0,0.0
3302,SRR5827044,2015.0,New_Zealand,Oceania,0.5,4.0,0.03,0.03,-1.0,2.0,-5.058893689,-5.058893689,0.0,1.0,0.0,0.0
3303,SRR5827045,2015.0,New_Zealand,Oceania,0.25,0.004,0.004,0.008,-2.0,-7.965784285,-7.965784285,-6.965784285,0.0,0.0,0.0,0.0
